pair_kind,A,B,A_idx,B_idx,ffca_hessian,I_mean,I_max
hessian,gwl_t-1,gwl,23,24,0.06386089211304982,0.0007138338088989258,0.01084214448928833
hessian,gwl_t-2,gwl,22,24,0.05373106628656387,0.0005855133285125097,0.009071648120880127
hessian,gwl,rain,24,74,0.045674982837835956,2.9494812091191608e-05,0.0027809739112854004
hessian,gwl_t-2,gwl_t-1,22,23,0.04549041937324736,0.0005432628815372785,0.00672575831413269
hessian,gwl_t-3,gwl,21,24,0.04406886317796177,0.00045484506090482074,0.007684499025344849
hessian,gwl_t-1,rain,23,74,0.03876205281085439,2.564522127310435e-05,0.002431124448776245
hessian,gwl_t-3,gwl_t-1,21,23,0.03733724570804172,0.0004439941967527072,0.008099347352981567
hessian,gwl_t-4,gwl,20,24,0.035882951016558536,0.00034984581669171653,0.0058439671993255615
hessian,gwl,rain_t-1,24,73,0.03543953751590518,2.7106722195943196e-05,0.005415052175521851
hessian,gwl_t-2,rain,22,74,0.0327408577117655,2.3044365147749583e-05,0.002230703830718994
hessian,gwl_t-3,gwl_t-2,21,22,0.03147430814968215,0.00041976701468229296,0.008383333683013916
hessian,gwl_t-4,gwl_t-1,20,23,0.030428362868891827,0.00033778385072946547,0.008960962295532227
hessian,gwl_t-1,rain_t-1,23,73,0.03011956752671136,2.547662705183029e-05,0.005062133073806763
hessian,gwl,rain_t-2,24,72,0.02925632406406932,2.2604038317998252e-05,0.003902256488800049
hessian,gwl_t-5,gwl,19,24,0.02880977253913879,0.0002671915491422017,0.003826737403869629
hessian,gwl_t-3,rain,21,74,0.027001183985339263,2.1448413530985515e-05,0.00252726674079895
hessian,gwl,rain_t-3,24,71,0.02569539326363139,2.3029644042253494e-05,0.003051459789276123
hessian,gwl_t-4,gwl_t-2,20,22,0.025676544247733222,0.00032428546994924543,0.00806400179862976
hessian,gwl_t-2,rain_t-1,22,73,0.02548054521746105,2.2147253155708314e-05,0.004599153995513916
hessian,gwl_t-1,rain_t-2,23,72,0.02491185419095887,2.1080434322357177e-05,0.005640476942062378
hessian,gwl_t-5,gwl_t-1,19,23,0.024449233949846685,0.00025463253756364185,0.0042556822299957275
hessian,gwl_t-6,gwl,18,24,0.0237591289765305,0.00020897114152709643,0.003057226538658142
hessian,gwl,rain_t-4,24,70,0.02317780146135224,2.1321623275677365e-05,0.0029820501804351807
hessian,rain_t-1,rain,73,74,0.022700339181555642,5.206972360610962e-06,0.001737486571073532
hessian,gwl_t-4,rain,20,74,0.02212960307995478,1.909725492199262e-05,0.002305150032043457
hessian,gwl_t-1,rain_t-3,23,71,0.021910432916217377,2.3036647588014603e-05,0.0029697418212890625
hessian,gwl_t-4,gwl_t-3,20,21,0.021146600786844886,0.0003135759209593137,0.006896108388900757
hessian,gwl_t-2,rain_t-2,22,72,0.02111390633119477,2.016082654396693e-05,0.007517874240875244
hessian,gwl_t-3,rain_t-1,21,73,0.02103784152269363,2.0148309568564096e-05,0.00383131206035614
hessian,gwl_t-5,gwl_t-2,19,22,0.02065099757247501,0.000249314213792483,0.004423409700393677
hessian,gwl_t-6,gwl_t-1,18,23,0.020194895337025322,0.00019609298184514046,0.0029138922691345215
hessian,gwl_t-7,gwl,17,24,0.01988723465998967,0.00019074416781465214,0.0038415491580963135
hessian,gwl,stgH,24,99,0.019839506736728872,0.00043633004526297253,0.006422840058803558
hessian,gwl_t-1,rain_t-4,23,70,0.019783236726125083,2.2074564049641293e-05,0.004558682441711426
hessian,gwl,rain_t-5,24,69,0.01977965140475168,1.5884827822446825e-05,0.002128422260284424
hessian,rain_t-2,rain,72,74,0.019056206873390404,5.5089083810647325e-06,0.0019483566284179688
hessian,gwl_t-2,rain_t-3,22,71,0.018582581414779028,1.9719517479340234e-05,0.002087324857711792
hessian,gwl_t-5,rain,19,74,0.01789688596791691,1.5837180117766064e-05,0.0018667280673980713
hessian,gwl_t-3,rain_t-2,21,72,0.017477291772762936,1.7259761691093443e-05,0.006715506315231323
hessian,gwl_t-6,gwl_t-2,18,22,0.017076716582642662,0.0001909884971876939,0.004694938659667969
hessian,gwl_t-5,gwl_t-3,19,21,0.01702773761086994,0.00023622598747412364,0.004608660936355591
hessian,rain_t-3,rain,71,74,0.01695953718092707,4.145315537850062e-06,0.0012097954750061035
hessian,gwl_t-7,gwl_t-1,17,23,0.0169124499016338,0.00017951008553306261,0.0038948357105255127
hessian,gwl_t-1,rain_t-5,23,69,0.016897447564204533,1.7378887782494226e-05,0.0028038620948791504
hessian,gwl_t-1,stgH,23,99,0.016817991477251052,0.0003985602284471194,0.005988992750644684
hessian,gwl_t-2,rain_t-4,22,70,0.01680167388584879,2.1317349125941596e-05,0.005948305130004883
hessian,gwl_t-8,gwl,16,24,0.01668678543037838,0.0001781103325386842,0.003096058964729309
hessian,gwl,rain_t-6,24,68,0.015711859013636906,2.1187201142311095e-05,0.003860175609588623
hessian,rain_t-4,rain,70,74,0.015454472416639324,3.997830053170522e-06,0.0013577044010162354
hessian,gwl_t-3,rain_t-3,21,71,0.015404225036833023,1.768578961491585e-05,0.002000570297241211
control,gate1_t-23,gate1_t-5,126,144,,0.00036369411274790765,0.004910498857498169
control,gate1_t+11,gate2_t+11,160,209,,0.0007438775114715099,0.010747909545898438
control,stgT_t-6,gate1_t+5,118,154,,0.0003348787029584249,0.0029973983764648438
control,gate1_t-24,gate1_t+18,125,167,,0.000413572795689106,0.006847649812698364
control,gate2_t+3,gate1_t+13,201,162,,0.0004973550811409951,0.006509691476821899
control,gate1_t+15,gate2_t+12,164,210,,0.0005125794460376104,0.006961405277252197
control,gate2_t+10,rain_t-18,208,56,,9.248893707990647e-06,0.0009498298168182373
control,wl_t-11,gate2_t-3,38,195,,0.0001987260232369105,0.00227433443069458
control,gate2_t+21,stgH_t-16,219,83,,0.0002014614591995875,0.0027703940868377686
control,gate1_t+19,stgT_t-18,168,106,,0.0003166258086760839,0.00244179368019104
control,stgT_t-15,stgT_t-23,109,101,,0.00024452159926295283,0.0029511451721191406
control,wl_t-5,rain_t-7,44,67,,8.215808620055516e-06,0.0006840229034423828
control,gate1_t+3,wl_t-9,152,40,,0.00019827159990866978,0.0017561763525009155
control,gate1_t+20,gate2_t+16,169,214,,0.0005785734343032043,0.006104171276092529
control,stgT_t-13,gate2_t+24,111,222,,0.0003866266037027041,0.00910351425409317
control,gate1_t-9,stgH_t-19,140,80,,0.0001837594099342823,0.0030300170183181763
control,gwl_t-21,stgH_t-23,3,76,,9.369379530350368e-05,0.001672983169555664
control,wl_t-13,gate2_t-21,36,177,,0.00019157398616274197,0.0019074678421020508
control,stgH_t-13,stgT_t-8,86,116,,0.00013944663107395171,0.0017260313034057617
control,gwl_t-16,gate1_t-1,8,148,,0.00019208568210403123,0.0028867721557617188
control,stgH_t-11,wl_t-1,88,48,,9.785892566045125e-05,0.0012447386980056763
control,gate2_t-10,stgT_t-10,188,114,,0.00030781706422567366,0.0027724802494049072
control,gate1_t-16,rain_t-20,133,54,,1.0618671774864196e-05,0.0009175240993499756
control,gate2_t+6,gate1_t-7,204,142,,0.0004730296110113462,0.007132172584533691
control,stgH_t-10,wl_t-4,89,45,,9.802670155962308e-05,0.0018054395914077759
control,gate2_t+8,stgT_t-19,206,105,,0.00029729412496089935,0.004592493176460266
control,gwl_t-18,gwl_t-15,6,9,,0.00010885113974412283,0.0019223392009735107
control,gate1_t-3,wl_t-14,146,35,,0.00018176010126868885,0.0018556565046310425
control,gwl_t-13,wl_t-20,11,29,,7.576384271184604e-05,0.0013878494501113892
control,stgT_t-12,stgH_t-2,112,97,,0.00019871603697538376,0.002651304006576538
control,stgT,stgT_t-3,124,121,,0.00029287391031781833,0.0039157867431640625
control,stgH_t-8,gate2_t+22,91,220,,0.0002243489200870196,0.0030489712953567505
control,gate1_t+2,stgT_t-24,151,100,,0.00036989907175302505,0.0027109384536743164
control,gate1_t-13,stgT_t-2,136,122,,0.00029168156534433365,0.0027527213096618652
control,gwl_t-9,gate2_t+19,15,217,,0.0001684183826049169,0.0030866265296936035
control,gate2_t-18,gate2_t-22,180,176,,0.00037239577000339826,0.0050224363803863525
control,wl_t-8,gate1_t-14,41,135,,0.00017646120364467303,0.00202786922454834
control,gate2_t+15,gwl_t-17,213,7,,0.00020828684171040853,0.0028298795223236084
control,gate1_t-8,rain_t-12,141,62,,1.638114079833031e-05,0.0034559816122055054
control,gate1_t+4,stgH_t-17,153,82,,0.00017540181676546732,0.00230620801448822
control,gwl_t-10,gate1_t-11,14,138,,0.00012908255433042844,0.0019651055335998535
control,gwl_t-23,gate2_t-6,1,192,,0.00017067493746678034,0.0026996731758117676
control,stgT_t-16,stgH_t-18,108,81,,0.00015538501491149266,0.002473101019859314
control,gate1_t-19,stgH_t-1,130,98,,0.0002610299214720726,0.004324048757553101
control,gate1_t-12,gate2_t+2,137,200,,0.00043153707558910053,0.007170617580413818
control,stgH_t-5,rain_t-17,94,57,,8.783349146445591e-06,0.0013716816902160645
control,gate1_t-22,rain_t-15,127,59,,1.1002236356337865e-05,0.00095328688621521
control,gate1_t-20,gate1_t+23,129,172,,0.0004051216542720795,0.006385862827301025
control,gate2_t-17,gate2_t-1,181,197,,0.00042966472109158836,0.005395084619522095
control,gate1_t+8,stgH_t-7,157,92,,0.0001751713678240776,0.0033895373344421387
